//Grid  ID      x       y       z
GRID    1       5      10      10
GRID    2       0       0       5
GRID    3      10     -10       5
GRID    4       5       0       0
GRID    5     -10     -10      -5
GRID    6      -5       0       0
GRID    7     -10      -5     -10
GRID    8       0       0      -5
GRID    9      10       5     -10
GRID   10      -5      10      10
GRID   11       0       5       0
GRID   12      -5     -10     -10
GRID   13       0      -5       0
GRID   14      10       5      10
GRID   15      10      10       5
GRID   16      10     -10      -5
GRID   17     -10       5     -10
GRID   18     -10     -10       5
GRID   19      10      -5     -10
GRID   20     -10      -5      10
GRID   21     -10      10      -5
GRID   22      10      10      -5
GRID   23      -5      10     -10
GRID   24     -10      10       5
GRID   25       5     -10      10
GRID   26       5     -10     -10
GRID   27       5      10     -10
GRID   28     -10       5      10
GRID   29      -5     -10      10
GRID   30      10      -5      10
//Strut  ID      Start   End
STRUT   1       1       2
STRUT   2       3       4
STRUT   3       5       6
STRUT   4       7       8
STRUT   5       9       8
STRUT   6      10      11
STRUT   7      12      13
STRUT   8      14       4
STRUT   9      15      11
STRUT  10      16      13
STRUT  11      17       6
STRUT  12      18      13
STRUT  13      19       4
STRUT  14      20       6
STRUT  15      21      11
STRUT  16      22       4
STRUT  17      23       8
STRUT  18      24       6
STRUT  19      25      13
STRUT  20      26       8
STRUT  21      27      11
STRUT  22      28       2
STRUT  23      29       2
STRUT  24      30       2
STRUT  25      27       8
STRUT  26      10       2
STRUT  27      25       2
STRUT  28      20       2
STRUT  29      14       2
STRUT  30      21       6
STRUT  31      15       4
STRUT  32      26      13
STRUT  33       1      11
STRUT  34      12       8
STRUT  35       7       6
STRUT  36       5      13
STRUT  37      22      11
STRUT  38      28       6
STRUT  39      24      11
STRUT  40      30       4
STRUT  41       9       4
STRUT  42       3      13
STRUT  43      23      11
STRUT  44      29      13
STRUT  45      18       6
STRUT  46      16       4
STRUT  47      19       8
STRUT  48      17       8
