//Grid  ID      x       y       z
GRID    1       0       0       0
GRID    2 3.33333 6.66667      10
GRID    3      10-6.66667 3.33333
GRID    4     -10-6.66667-3.33333
GRID    5-6.66667-3.33333     -10
GRID    6 6.66667 3.33333     -10
GRID    7-3.33333      10 6.66667
GRID    8-3.33333     -10-6.66667
GRID    9      10 3.33333 6.66667
GRID   10 6.66667      10 3.33333
GRID   11 6.66667     -10-3.33333
GRID   12     -10 3.33333-6.66667
GRID   13-6.66667     -10 3.33333
GRID   14      10-3.33333-6.66667
GRID   15     -10-3.33333 6.66667
GRID   16-6.66667      10-3.33333
GRID   17      10 6.66667-3.33333
GRID   18-3.33333 6.66667     -10
GRID   19     -10 6.66667 3.33333
GRID   20 3.33333     -10 6.66667
GRID   21 3.33333-6.66667     -10
GRID   22 3.33333      10-6.66667
GRID   23-6.66667 3.33333      10
GRID   24-3.33333-6.66667      10
GRID   25 6.66667-3.33333      10
GRID   26 3.33333 6.66667     -10
GRID   27-3.33333 6.66667      10
GRID   28 3.33333-6.66667      10
GRID   29-6.66667-3.33333      10
GRID   30 6.66667 3.33333      10
GRID   31     -10 6.66667-3.33333
GRID   32      10 6.66667 3.33333
GRID   33 3.33333     -10-6.66667
GRID   34 3.33333      10 6.66667
GRID   35-3.33333-6.66667     -10
GRID   36     -10-3.33333-6.66667
GRID   37-6.66667     -10-3.33333
GRID   38 6.66667      10-3.33333
GRID   39     -10 3.33333 6.66667
GRID   40-6.66667      10 3.33333
GRID   41      10-3.33333 6.66667
GRID   42      10 3.33333-6.66667
GRID   43 6.66667     -10 3.33333
GRID   44-3.33333      10-6.66667
GRID   45-3.33333     -10 6.66667
GRID   46     -10-6.66667 3.33333
GRID   47      10-6.66667-3.33333
GRID   48 6.66667-3.33333     -10
GRID   49-6.66667 3.33333     -10
//Strut  ID      Start   End
STRUT   1       1       2
STRUT   2       1       3
STRUT   3       1       4
STRUT   4       1       5
STRUT   5       1       6
STRUT   6       1       7
STRUT   7       1       8
STRUT   8       1       9
STRUT   9       1      10
STRUT  10       1      11
STRUT  11       1      12
STRUT  12       1      13
STRUT  13       1      14
STRUT  14       1      15
STRUT  15       1      16
STRUT  16       1      17
STRUT  17       1      18
STRUT  18       1      19
STRUT  19       1      20
STRUT  20       1      21
STRUT  21       1      22
STRUT  22       1      23
STRUT  23       1      24
STRUT  24       1      25
STRUT  25       1      26
STRUT  26       1      27
STRUT  27       1      28
STRUT  28       1      29
STRUT  29       1      30
STRUT  30       1      31
STRUT  31       1      32
STRUT  32       1      33
STRUT  33       1      34
STRUT  34       1      35
STRUT  35       1      36
STRUT  36       1      37
STRUT  37       1      38
STRUT  38       1      39
STRUT  39       1      40
STRUT  40       1      41
STRUT  41       1      42
STRUT  42       1      43
STRUT  43       1      44
STRUT  44       1      45
STRUT  45       1      46
STRUT  46       1      47
STRUT  47       1      48
STRUT  48       1      49
