//Grid  ID      x       y       z
GRID    1       0       0      10
GRID    2       0       5       5
GRID    3      10       0       0
GRID    4       5      -5       0
GRID    5     -10       0       0
GRID    6      -5      -5       0
GRID    7       0       0     -10
GRID    8      -5       0      -5
GRID    9       5       0      -5
GRID   10       0      10       0
GRID   11       0     -10       0
GRID   12       0      -5      -5
GRID   13       5       0       5
GRID   14       5       5       0
GRID   15      -5       0       5
GRID   16      -5       5       0
GRID   17       0       5      -5
GRID   18       0      -5       5
//Strut  ID      Start   End
STRUT   1       1       2
STRUT   2       3       4
STRUT   3       5       6
STRUT   4       7       8
STRUT   5       7       9
STRUT   6      10       2
STRUT   7      11      12
STRUT   8       3      13
STRUT   9      10      14
STRUT  10      11       4
STRUT  11       5       8
STRUT  12      11       6
STRUT  13       3       9
STRUT  14       5      15
STRUT  15      10      16
STRUT  16       3      14
STRUT  17       7      17
STRUT  18       5      16
STRUT  19      11      18
STRUT  20       7      12
STRUT  21      10      17
STRUT  22       1      15
STRUT  23       1      18
STRUT  24       1      13
