//Grid  ID      x       y       z
GRID    1       0       0      10
GRID    2 3.33333 6.66667 6.66667
GRID    3      10       0       0
GRID    4 6.66667-6.66667 3.33333
GRID    5     -10       0       0
GRID    6-6.66667-6.66667-3.33333
GRID    7       0       0     -10
GRID    8-6.66667-3.33333-6.66667
GRID    9 6.66667 3.33333-6.66667
GRID   10       0      10       0
GRID   11-3.33333 6.66667 6.66667
GRID   12       0     -10       0
GRID   13-3.33333-6.66667-6.66667
GRID   14 6.66667 3.33333 6.66667
GRID   15 6.66667 6.66667 3.33333
GRID   16 6.66667-6.66667-3.33333
GRID   17-6.66667 3.33333-6.66667
GRID   18-6.66667-6.66667 3.33333
GRID   19 6.66667-3.33333-6.66667
GRID   20-6.66667-3.33333 6.66667
GRID   21-6.66667 6.66667-3.33333
GRID   22 6.66667 6.66667-3.33333
GRID   23-3.33333 6.66667-6.66667
GRID   24-6.66667 6.66667 3.33333
GRID   25 3.33333-6.66667 6.66667
GRID   26 3.33333-6.66667-6.66667
GRID   27 3.33333 6.66667-6.66667
GRID   28-6.66667 3.33333 6.66667
GRID   29-3.33333-6.66667 6.66667
GRID   30 6.66667-3.33333 6.66667
//Strut  ID      Start   End
STRUT   1       1       2
STRUT   2       3       4
STRUT   3       5       6
STRUT   4       7       8
STRUT   5       7       9
STRUT   6      10      11
STRUT   7      12      13
STRUT   8       3      14
STRUT   9      10      15
STRUT  10      12      16
STRUT  11       5      17
STRUT  12      12      18
STRUT  13       3      19
STRUT  14       5      20
STRUT  15      10      21
STRUT  16       3      22
STRUT  17       7      23
STRUT  18       5      24
STRUT  19      12      25
STRUT  20       7      26
STRUT  21      10      27
STRUT  22       1      28
STRUT  23       1      29
STRUT  24       1      30
STRUT  25       7      27
STRUT  26       1      11
STRUT  27       1      25
STRUT  28       1      20
STRUT  29       1      14
STRUT  30       5      21
STRUT  31       3      15
STRUT  32      12      26
STRUT  33      10       2
STRUT  34       7      13
STRUT  35       5       8
STRUT  36      12       6
STRUT  37      10      22
STRUT  38       5      28
STRUT  39      10      24
STRUT  40       3      30
STRUT  41       3       9
STRUT  42      12       4
STRUT  43      10      23
STRUT  44      12      29
STRUT  45       5      18
STRUT  46       3      16
STRUT  47       7      19
STRUT  48       7      17
