//Grid  ID      x       y       z
GRID    1       0      10      10
GRID    2       5       5      10
GRID    3      10     -10       0
GRID    4      10      -5       5
GRID    5     -10     -10       0
GRID    6     -10      -5      -5
GRID    7     -10       0     -10
GRID    8      -5      -5     -10
GRID    9      10       0     -10
GRID   10       5       5     -10
GRID   11      -5      10       5
GRID   12       0     -10     -10
GRID   13      -5     -10      -5
GRID   14      10       0      10
GRID   15      10       5       5
GRID   16      10      10       0
GRID   17       5      10       5
GRID   18       5     -10      -5
GRID   19     -10       5      -5
GRID   20      -5     -10       5
GRID   21      10      -5      -5
GRID   22     -10       0      10
GRID   23     -10      -5       5
GRID   24     -10      10       0
GRID   25      -5      10      -5
GRID   26      10       5      -5
GRID   27       0      10     -10
GRID   28      -5       5     -10
GRID   29     -10       5       5
GRID   30       0     -10      10
GRID   31       5     -10       5
GRID   32       5      -5     -10
GRID   33       5      10      -5
GRID   34      -5       5      10
GRID   35      -5      -5      10
GRID   36       5      -5      10
//Strut  ID      Start   End
STRUT   1       1       2
STRUT   2       3       4
STRUT   3       5       6
STRUT   4       7       8
STRUT   5       9      10
STRUT   6       1      11
STRUT   7      12      13
STRUT   8      14      15
STRUT   9      16      17
STRUT  10       3      18
STRUT  11       7      19
STRUT  12       5      20
STRUT  13       9      21
STRUT  14      22      23
STRUT  15      24      25
STRUT  16      16      26
STRUT  17      27      28
STRUT  18      24      29
STRUT  19      30      31
STRUT  20      12      32
STRUT  21      27      33
STRUT  22      22      34
STRUT  23      30      35
STRUT  24      14      36
STRUT  25      27      10
STRUT  26       1      34
STRUT  27      30      36
STRUT  28      22      35
STRUT  29      14       2
STRUT  30      24      19
STRUT  31      16      15
STRUT  32      12      18
STRUT  33       1      17
STRUT  34      12       8
STRUT  35       7       6
STRUT  36       5      13
STRUT  37      16      33
STRUT  38      22      29
STRUT  39      24      11
STRUT  40      14       4
STRUT  41       9      26
STRUT  42       3      31
STRUT  43      27      25
STRUT  44      30      20
STRUT  45       5      23
STRUT  46       3      21
STRUT  47       9      32
STRUT  48       7      28
