//Grid  ID      x       y       z
GRID    1       0      10      10
GRID    2       5       5       5
GRID    3      10     -10       0
GRID    4       5      -5       5
GRID    5     -10     -10       0
GRID    6      -5      -5      -5
GRID    7     -10       0     -10
GRID    8      10       0     -10
GRID    9       5       5      -5
GRID   10      -5       5       5
GRID   11       0     -10     -10
GRID   12      10       0      10
GRID   13      10      10       0
GRID   14       5      -5      -5
GRID   15      -5       5      -5
GRID   16      -5      -5       5
GRID   17     -10       0      10
GRID   18     -10      10       0
GRID   19       0      10     -10
GRID   20       0     -10      10
//Strut  ID      Start   End
STRUT   1       1       2
STRUT   2       3       4
STRUT   3       5       6
STRUT   4       7       6
STRUT   5       8       9
STRUT   6       1      10
STRUT   7      11       6
STRUT   8      12       2
STRUT   9      13       2
STRUT  10       3      14
STRUT  11       7      15
STRUT  12       5      16
STRUT  13       8      14
STRUT  14      17      16
STRUT  15      18      15
STRUT  16      13       9
STRUT  17      19      15
STRUT  18      18      10
STRUT  19      20       4
STRUT  20      11      14
STRUT  21      19       9
STRUT  22      17      10
STRUT  23      20      16
STRUT  24      12       4
