//Grid  ID      x       y       z
GRID    1       0      10      10
GRID    2 3.33333 3.33333 6.66667
GRID    3      10     -10       0
GRID    4 6.66667-3.33333 3.33333
GRID    5     -10     -10       0
GRID    6-6.66667-3.33333-3.33333
GRID    7     -10       0     -10
GRID    8-3.33333-3.33333-6.66667
GRID    9      10       0     -10
GRID   10 3.33333 3.33333-6.66667
GRID   11-3.33333 6.66667 3.33333
GRID   12       0     -10     -10
GRID   13-3.33333-6.66667-3.33333
GRID   14      10       0      10
GRID   15 6.66667 3.33333 3.33333
GRID   16      10      10       0
GRID   17 3.33333 6.66667 3.33333
GRID   18 3.33333-6.66667-3.33333
GRID   19-6.66667 3.33333-3.33333
GRID   20-3.33333-6.66667 3.33333
GRID   21 6.66667-3.33333-3.33333
GRID   22     -10       0      10
GRID   23-6.66667-3.33333 3.33333
GRID   24     -10      10       0
GRID   25-3.33333 6.66667-3.33333
GRID   26 6.66667 3.33333-3.33333
GRID   27       0      10     -10
GRID   28-3.33333 3.33333-6.66667
GRID   29-6.66667 3.33333 3.33333
GRID   30       0     -10      10
GRID   31 3.33333-6.66667 3.33333
GRID   32 3.33333-3.33333-6.66667
GRID   33 3.33333 6.66667-3.33333
GRID   34-3.33333 3.33333 6.66667
GRID   35-3.33333-3.33333 6.66667
GRID   36 3.33333-3.33333 6.66667
//Strut  ID      Start   End
STRUT   1       1       2
STRUT   2       3       4
STRUT   3       5       6
STRUT   4       7       8
STRUT   5       9      10
STRUT   6       1      11
STRUT   7      12      13
STRUT   8      14      15
STRUT   9      16      17
STRUT  10       3      18
STRUT  11       7      19
STRUT  12       5      20
STRUT  13       9      21
STRUT  14      22      23
STRUT  15      24      25
STRUT  16      16      26
STRUT  17      27      28
STRUT  18      24      29
STRUT  19      30      31
STRUT  20      12      32
STRUT  21      27      33
STRUT  22      22      34
STRUT  23      30      35
STRUT  24      14      36
STRUT  25      27      10
STRUT  26       1      34
STRUT  27      30      36
STRUT  28      22      35
STRUT  29      14       2
STRUT  30      24      19
STRUT  31      16      15
STRUT  32      12      18
STRUT  33       1      17
STRUT  34      12       8
STRUT  35       7       6
STRUT  36       5      13
STRUT  37      16      33
STRUT  38      22      29
STRUT  39      24      11
STRUT  40      14       4
STRUT  41       9      26
STRUT  42       3      31
STRUT  43      27      25
STRUT  44      30      20
STRUT  45       5      23
STRUT  46       3      21
STRUT  47       9      32
STRUT  48       7      28
